Account Number,Account Type,Employment Status,Employment Position,Age,Nationality,Account Status,Risk Code,Date Joined
319,SINGLE,RETIRED,STATE PENSION,87,IRISH,ACTIVE,LO,08-Sep-79
323,SINGLE,EMPLOYED PART-TIME,RETAIL ASSISTANT,68,IRISH,ACTIVE,LO,14-Sep-79
328,SINGLE,RETIRED,STATE PENSION,74,IRISH,ACTIVE,LO,16-Feb-90
336,SINGLE,Not Available,Not Available,87,IRISH,ACTIVE,LO,22-Nov-67
339,SINGLE,RETIRED,PENSIONER,71,IRISH,ACTIVE,LO,21-Sep-79
345,SINGLE,EMPLOYED FULL-TIME,COUNTER ASS,66,IRISH,ACTIVE,LO,20-Feb-90
352,SINGLE,DISABILITY,Not Available,53,IRISH,ACTIVE,LO,20-Feb-90
361,SINGLE,EMPLOYED PART-TIME,CLEANER,72,IRISH,ACTIVE,LO,12-Oct-79
368,SINGLE,UNEMPLOYED,UNEMPLOYED,62,IRISH,ACTIVE,LO,21-Feb-90
373,SINGLE,Not Available,FACTORY WORKER,58,IRISH,ACTIVE,LO,21-Feb-90
374,SINGLE,Not Available,Not Available,89,IRISH,ACTIVE,LO,21-Feb-90
378,SINGLE,EMPLOYED FULL-TIME,SCHOOL WARDEN,65,IRISH,ACTIVE,LO,19-Oct-79
380,SINGLE,RETIRED,PENSION,81,IRISH,ACTIVE,LO,19-Oct-79
386,SINGLE,RETIRED,Not Available,76,IRISH,ACTIVE,LO,22-Feb-90
387,SINGLE,RETIRED,HOUSEWIFE STATE PENSION,85,IRISH,ACTIVE,LO,13-Jan-68
389,SINGLE,EMPLOYED PART-TIME,STOCK ROOM,33,IRISH,ACTIVE,LO,16-Jan-09
395,SINGLE,EMPLOYED FULL-TIME,CARER,64,IRISH,ACTIVE,LO,23-Feb-90
406,SINGLE,RETIRED,STATE & WIDOWS PENSION,71,IRISH,ACTIVE,LO,09-Feb-90
408,SINGLE,EMPLOYED FULL-TIME,CIVIL SERVANT,70,IRISH,ACTIVE,LO,16-Nov-67
412,SINGLE,HOMEMAKER,Not Available,65,IRISH,ACTIVE,LO,16-Nov-67
415,SINGLE,RETIRED,STATE PENSION,83,IRISH,ACTIVE,LO,16-Nov-67
424,SINGLE,EMPLOYED FULL-TIME,GEN.OPERATIVE,45,IRISH,ACTIVE,LO,23-Feb-90
426,SINGLE,UNEMPLOYED,HOUSEWIFE,53,IRISH,ACTIVE,LO,23-Feb-90
427,SINGLE,EMPLOYED FULL-TIME,CLERICAL SEHB,54,IRISH,ACTIVE,LO,23-Feb-90
430,SINGLE,EMPLOYED FULL-TIME,HOME CARER SOCIAL WELFARE PAYMENT,62,IRISH,ACTIVE,LO,23-Feb-90
432,SINGLE,EMPLOYED FULL-TIME,MACHINE OPERATOR,44,IRISH,ACTIVE,LO,23-Nov-79
433,SINGLE,EMPLOYED FULL-TIME,FORK LIFT DRIVER,52,IRISH,ACTIVE,LO,23-Feb-90
439,SINGLE,RETIRED,PENSIONER,78,IRISH,ACTIVE,LO,23-Nov-79
440,SINGLE,RETIRED,STATE  PENSION,78,IRISH,ACTIVE,LO,22-Nov-67
443,SINGLE,EMPLOYED FULL-TIME,ADMIN / MANAGER,60,IRISH,ACTIVE,LO,30-Nov-79
445,SINGLE,RETIRED,RETIRED WATERFORD GLASS,72,IRISH,ACTIVE,LO,02-Dec-79
463,SINGLE,EMPLOYED FULL-TIME,LABOURER,56,IRISH,ACTIVE,LO,30-Nov-67
467,SINGLE,Not Available,H/WIFE,83,IRISH,ACTIVE,LO,29-Dec-79
469,SINGLE,EMPLOYED PART-TIME,ART & CRAFTS TEACHER,70,IRISH,ACTIVE,LO,04-Jan-80
470,SINGLE,EMPLOYED FULL-TIME,OPERATIONS STAFF,52,IRISH,ACTIVE,LO,26-Feb-90
474,SINGLE,EMPLOYED FULL-TIME,PROJECT ENGINEER,55,IRISH,ACTIVE,LO,27-Feb-90
491,SINGLE,UNEMPLOYED,HOUSEWIFE,70,IRISH,ACTIVE,LO,05-Jan-80
495,SINGLE,EMPLOYED FULL-TIME,GENERAL OP,60,IRISH,ACTIVE,LO,01-Mar-90
497,SINGLE,SELF EMPLOYED,ELECTRICIAN,56,IRISH,ACTIVE,LO,11-Jan-80
508,SINGLE,RETIRED,Not Available,73,IRISH,ACTIVE,LO,12-Jan-80
514,SINGLE,UNEMPLOYED,WIDOWS PENSION,78,IRISH,ACTIVE,LO,05-Mar-90
517,SINGLE,EMPLOYED FULL-TIME,HAULAGE DRIVER - ROADSTONE,61,IRISH,CHOFF,LO,12-Jan-80
518,SINGLE,Not Available,Not Available,76,IRISH,ACTIVE,LO,12-Jan-80
519,SINGLE,RETIRED,STATE PENSIONER,87,IRISH,ACTIVE,LO,19-Dec-67
520,SINGLE,EMPLOYED PART-TIME,RESEACHER ADMIN,58,IRISH,ACTIVE,LO,20-Jan-68
522,SINGLE,EMPLOYED FULL-TIME,CLERICAL OFFICER,60,IRISH,ACTIVE,LO,12-Jan-80
529,SINGLE,RETIRED,Not Available,74,IRISH,ACTIVE,LO,18-Jan-80
546,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,60,IRISH,ACTIVE,LO,19-Jan-80
552,SINGLE,EMPLOYED FULL-TIME,CLINICAL PLACEMENT CO-ORDINATOR,62,IRISH,ACTIVE,LO,25-Jan-80
554,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,49,IRISH,ACTIVE,LO,26-Jan-80
556,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,45,IRISH,ACTIVE,LO,26-Jan-80
563,SINGLE,RETIRED,RETIRED,69,IRISH,ACTIVE,LO,09-Mar-90
570,SINGLE,RETIRED,Not Available,73,IRISH,ACTIVE,LO,05-Nov-75
572,SINGLE,DISABILITY,Not Available,61,IRISH,ACTIVE,LO,09-Mar-90
578,SINGLE,EMPLOYED FULL-TIME,HR MANAGER,58,IRISH,ACTIVE,LO,09-Mar-90
581,SINGLE,RETIRED,Not Available,79,IRISH,ACTIVE,LO,02-Feb-68
584,SINGLE,DISABILITY,DISABILITY S/WELFARE PAYMENT,68,IRISH,ACTIVE,LO,08-Feb-80
587,SINGLE,EMPLOYED FULL-TIME,SENIOR BUYER,44,IRISH,ACTIVE,LO,09-Mar-90
589,SINGLE,Not Available,Not Available,96,IRISH,ACTIVE,LO,20-Jan-68
590,SINGLE,Not Available,Not Available,75,IRISH,ACTIVE,LO,08-Feb-80
591,SINGLE,UNEMPLOYED,PENSION,76,IRISH,CLOSED,LO,23-Jul-67
599,SINGLE,EMPLOYED PART-TIME,LEGAL SECRETARY,64,IRISH,ACTIVE,LO,09-Mar-90
600,SINGLE,EMPLOYED FULL-TIME,LABOURER,62,IRISH,ACTIVE,LO,20-Jan-06
601,SINGLE,EMPLOYED PART-TIME,FACTORY WORKER,61,IRISH,ACTIVE,LO,09-Feb-80
602,SINGLE,RETIRED,PENSION,91,IRISH,ACTIVE,LO,03-Feb-68
609,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,57,IRISH,ACTIVE,LO,06-Jan-95
610,SINGLE,EMPLOYED FULL-TIME,LAUNDRY DEPT,81,IRISH,ACTIVE,LO,03-Feb-68
612,SINGLE,EMPLOYED FULL-TIME,TEAN LEADER,52,IRISH,ACTIVE,LO,09-Mar-90
635,SINGLE,EMPLOYED FULL-TIME,NURSE,34,IRISH,ACTIVE,LO,16-Mar-90
646,SINGLE,EMPLOYED PART-TIME,SHOP ASSISTANT,62,IRISH,ACTIVE,LO,23-Feb-80
649,SINGLE,RETIRED,STATE PENSION,76,IRISH,ACTIVE,LO,11-Nov-67
654,SINGLE,RETIRED,STATE PENSION,80,IRISH,ACTIVE,LO,25-Feb-80
656,SINGLE,EMPLOYED FULL-TIME,CLEANER BASED IN GENZYME,55,IRISH,ACTIVE,LO,16-Mar-90
660,SINGLE,RETIRED,PENSION,79,IRISH,ACTIVE,LO,03-Feb-68
663,SINGLE,EMPLOYED FULL-TIME,FACTORY OPERATIVE,63,IRISH,ACTIVE,LO,29-Feb-80
664,SINGLE,Not Available,TEACHERS,60,IRISH,ACTIVE,LO,20-Mar-90
669,SINGLE,EMPLOYED FULL-TIME,Not Available,77,IRISH,ACTIVE,LO,07-Dec-67
673,SINGLE,EMPLOYED FULL-TIME,QUALITY MANAGER,60,IRISH,ACTIVE,LO,21-Mar-90
686,SINGLE,DISABILITY,SOCIAL WELFARE,63,IRISH,ACTIVE,LO,14-Mar-80
687,SINGLE,EMPLOYED FULL-TIME,PROCUREMENT DIRECTOR,57,IRISH,ACTIVE,LO,22-Mar-90
688,SINGLE,EMPLOYED FULL-TIME,GENERAL OPERATIVE,60,IRISH,ACTIVE,LO,14-Mar-80
693,SINGLE,EMPLOYED FULL-TIME,SPECIAL NEEDS ASSTANT,48,IRISH,ACTIVE,LO,21-Mar-80
695,SINGLE,EMPLOYED PART-TIME,LECTURER P/T,57,IRISH,ACTIVE,LO,23-Mar-90
698,SINGLE,EMPLOYED PART-TIME,ACCOUNTS,59,IRISH,ACTIVE,LO,23-Mar-90
701,SINGLE,RETIRED,Not Available,70,IRISH,ACTIVE,LO,22-Mar-80
708,SINGLE,EMPLOYED PART-TIME,ADMINISTRATION/BAR WORK,68,IRISH,ACTIVE,LO,31-Mar-80
709,SINGLE,EMPLOYED PART-TIME,CHILDMINDER,58,IRISH,CHOFF,LO,16-Nov-90
722,SINGLE,UNEMPLOYED,JOBSEEKERS ALLOWANCE,55,IRISH,ACTIVE,LO,27-Mar-90
733,SINGLE,UNEMPLOYED,BUILDER,74,IRISH,ACTIVE,LO,19-Apr-80
734,SINGLE,EMPLOYED FULL-TIME,TRAIN DRIVER,57,IRISH,ACTIVE,LO,19-Apr-80
748,SINGLE,EMPLOYED FULL-TIME,CASHIER,63,IRISH,ACTIVE,LO,02-May-80
760,SINGLE,EMPLOYED PART-TIME,FACTORY WORK 3 DAYS,80,IRISH,ACTIVE,LO,16-May-80
764,SINGLE,SELF EMPLOYED,BEAUTY THERAPY,49,IRISH,CHOFF,LO,16-May-80
765,SINGLE,EMPLOYED FULL-TIME,OPERATOR,43,IRISH,ACTIVE,LO,24-May-80
772,SINGLE,EMPLOYED PART-TIME,VAN DRIVER,59,IRISH,ACTIVE,LO,30-May-80
776,SINGLE,RETIRED,Not Available,69,IRISH,ACTIVE,LO,03-Apr-90
788,SINGLE,RETIRED,RETIRED,84,IRISH,ACTIVE,HI,05-Apr-90
793,SINGLE,EMPLOYED FULL-TIME,LORRY DRIVER,79,IRISH,ACTIVE,LO,06-Apr-90
797,SINGLE,RETIRED,Not Available,71,IRISH,ACTIVE,LO,06-Apr-90
808,SINGLE,RETIRED,PENSION,84,IRISH,ACTIVE,LO,10-May-68
816,SINGLE,EMPLOYED FULL-TIME,Not Available,68,IRISH,ACTIVE,LO,21-Jun-80
817,SINGLE,SELF EMPLOYED,PAINTER,70,IRISH,CHOFF,LO,09-Apr-90
819,SINGLE,EMPLOYED FULL-TIME,YOUTH OFFICER,55,IRISH,ACTIVE,LO,18-May-68
829,SINGLE,RETIRED,STATE PENSION,74,IRISH,ACTIVE,LO,31-May-68
830,SINGLE,RETIRED,STATE PENSION,85,IRISH,ACTIVE,LO,31-May-68
843,SINGLE,RETIRED,Not Available,72,IRISH,ACTIVE,LO,04-Jul-80
851,SINGLE,RETIRED,STATE PENSION NON CONT,74,IRISH,ACTIVE,LO,14-Jun-68
854,SINGLE,EMPLOYED PART-TIME,LEGAL SEC,58,IRISH,ACTIVE,LO,18-Apr-90
858,SINGLE,RETIRED,Not Available,89,IRISH,ACTIVE,LO,15-Jun-68
861,SINGLE,EMPLOYED FULL-TIME,CLERICAL OFFICER,63,IRISH,ACTIVE,LO,12-Jul-80
868,SINGLE,RETIRED,Not Available,92,IRISH,DECEASED,LO,14-Jul-80
893,SINGLE,RETIRED,Not Available,66,IRISH,ACTIVE,LO,18-Jan-09
900,SINGLE,EMPLOYED FULL-TIME,CASHIER- AGRI DEVELOPMENT,50,IRISH,ACTIVE,LO,03-Aug-80
908,SINGLE,EMPLOYED FULL-TIME,STOREMAN,39,IRISH,ACTIVE,LO,22-Jan-18
922,SINGLE,Not Available,Not Available,64,IRISH,ACTIVE,LO,15-Aug-80
927,SINGLE,RETIRED,Not Available,90,IRISH,ACTIVE,LO,27-Apr-90
936,SINGLE,RETIRED,RETIRED,79,IRISH,ACTIVE,LO,30-Aug-68
961,SINGLE,RETIRED,RETIRED,73,IRISH,ACTIVE,LO,09-Mar-68
970,SINGLE,DISABILITY,HOUSEWIFE,64,IRISH,ACTIVE,LO,06-Sep-80
972,SINGLE,EMPLOYED FULL-TIME,MAINTENANCE TECHNICIAN,60,IRISH,ACTIVE,LO,08-Sep-80
980,SINGLE,RETIRED,STATE PENSIONER,75,IRISH,ACTIVE,LO,27-Sep-68
981,SINGLE,UNEMPLOYED,UNEMPLOYED,61,IRISH,ACTIVE,LO,12-Sep-80
989,SINGLE,RETIRED,Not Available,68,IRISH,ACTIVE,LO,04-May-90
998,SINGLE,EMPLOYED PART-TIME,CANTEEN,62,IRISH,ACTIVE,LO,19-Sep-80
999,SINGLE,RETIRED,RETIRED,77,IRISH,ACTIVE,LO,04-Oct-68
1000,SINGLE,EMPLOYED PART-TIME,GENERAL OPERATIVE,56,IRISH,ACTIVE,LO,28-Sep-68
1015,SINGLE,RETIRED,PENSION FROM FAS,78,IRISH,ACTIVE,LO,11-Oct-68
1016,SINGLE,UNEMPLOYED,Not Available,68,IRISH,ACTIVE,LO,26-Sep-80
1017,SINGLE,Not Available,Not Available,91,IRISH,DECEASED,LO,26-Sep-80
1018,SINGLE,RETIRED,Not Available,91,IRISH,ACTIVE,LO,26-Sep-80
1024,SINGLE,EMPLOYED FULL-TIME,DOMESTIC,77,IRISH,ACTIVE,LO,08-May-90
1029,SINGLE,EMPLOYED PART-TIME,RECEPTIONIST,62,IRISH,ACTIVE,LO,04-Oct-80
1033,SINGLE,SELF EMPLOYED,BUILDER,58,IRISH,ACTIVE,LO,04-Oct-80
1050,SINGLE,Not Available,Not Available,74,IRISH,ACTIVE,LO,08-Nov-68
1053,SINGLE,EMPLOYED FULL-TIME,POST PERSON,67,IRISH,ACTIVE,LO,17-Oct-80
1056,SINGLE,RETIRED,STATE PENSION,75,IRISH,ACTIVE,HI,10-May-90
1057,SINGLE,RETIRED,STATE PENSION,69,IRISH,ACTIVE,LO,18-Oct-80
1062,SINGLE,EMPLOYED FULL-TIME,TEACHER,33,IRISH,ACTIVE,LO,10-May-90
1063,SINGLE,EMPLOYED FULL-TIME,GEN OPERATIVE,53,IRISH,ACTIVE,LO,24-Oct-80
1064,SINGLE,STUDENT,1YR MECH ENG / P/T BAR PERSON,33,IRISH,ACTIVE,LO,10-May-90
1070,SINGLE,Not Available,Not Available,76,IRISH,ACTIVE,LO,07-Dec-68
1075,SINGLE,RETIRED,OLD AGE PENSION,84,IRISH,ACTIVE,LO,03-Nov-80
1090,SINGLE,EMPLOYED PART-TIME,SHOP ASSISTANT,51,IRISH,ACTIVE,LO,21-Nov-80
1113,SINGLE,RETIRED,PENSIONER,88,IRISH,ACTIVE,LO,03-Jan-81
1117,SINGLE,UNEMPLOYED,CARER ALLOWANCE,69,IRISH,ACTIVE,LO,09-Jan-81
1124,SINGLE,EMPLOYED PART-TIME,SECRETARY,65,IRISH,ACTIVE,LO,09-Jan-81
1127,SINGLE,EMPLOYED FULL-TIME,SUPERVISOR DEBENHAMS,62,IRISH,ACTIVE,LO,09-Jan-81
1130,SINGLE,UNEMPLOYED,EARLY RETIRED,76,IRISH,ACTIVE,LO,10-Jan-81
1144,SINGLE,EMPLOYED FULL-TIME,CHEF/MANAGER,51,IRISH,ACTIVE,LO,21-Nov-90
1147,SINGLE,EMPLOYED PART-TIME,ACCOUNTS,57,IRISH,ACTIVE,LO,16-May-90
1149,SINGLE,EMPLOYED FULL-TIME,ACCOUNTANT,43,IRISH,ACTIVE,LO,16-Jan-81
1151,SINGLE,EMPLOYED FULL-TIME,CUTTER,72,IRISH,ACTIVE,LO,17-May-90
1160,SINGLE,DISABILITY,S/SWELFARE,71,IRISH,ACTIVE,LO,19-Jan-81
1171,SINGLE,Not Available,FACTORY WORK/CL,67,IRISH,CHOFF,LO,07-Sep-89
1183,SINGLE,RETIRED,PENSIONER,72,IRISH,ACTIVE,LO,30-Jan-81
1189,SINGLE,Not Available,PERSONAL ASSIST,85,IRISH,ACTIVE,LO,14-Mar-69
1200,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,64,IRISH,ACTIVE,LO,06-Feb-81
1207,SINGLE,EMPLOYED FULL-TIME,TECHNICIAN,56,IRISH,ACTIVE,LO,18-May-90
1213,SINGLE,RETIRED,STATE PENSION,73,IRISH,ACTIVE,LO,29-Mar-69
1228,SINGLE,RETIRED,STATE PENSION,71,IRISH,ACTIVE,LO,16-Feb-81
1233,SINGLE,Not Available,Not Available,78,IRISH,ACTIVE,LO,23-May-90
1236,SINGLE,EMPLOYED FULL-TIME,TEAM LEADER,33,IRISH,ACTIVE,LO,24-May-90
1243,SINGLE,SELF EMPLOYED,TRUCK DRIVER,67,IRISH,ACTIVE,LO,28-Feb-81
1249,SINGLE,EMPLOYED FULL-TIME,NURSING SISTER,65,IRISH,ACTIVE,LO,06-Mar-81
1252,SINGLE,EMPLOYED FULL-TIME,GENERAL OPERATIVE,60,IRISH,ACTIVE,LO,06-Mar-81
1253,SINGLE,EMPLOYED FULL-TIME,STAFF OFFICER,60,IRISH,ACTIVE,LO,25-May-90
1259,SINGLE,RETIRED,PENSION,79,IRISH,ACTIVE,LO,09-Mar-81
1266,SINGLE,EMPLOYED PART-TIME,CLEANER,61,IRISH,ACTIVE,LO,29-May-90
1267,SINGLE,RETIRED,Not Available,72,IRISH,ACTIVE,LO,14-Mar-81
1271,SINGLE,RETIRED,STATE PENSION,84,IRISH,ACTIVE,LO,19-Sep-69
1283,SINGLE,RETIRED,RETIRED,82,IRISH,ACTIVE,LO,20-Mar-81
1287,SINGLE,EMPLOYED FULL-TIME,SOCIAL CARE WORKER,51,IRISH,ACTIVE,LO,14-Mar-11
1293,SINGLE,Not Available,Not Available,67,IRISH,ACTIVE,LO,21-Mar-81
1299,SINGLE,EMPLOYED FULL-TIME,CLEANER,67,IRISH,ACTIVE,LO,28-Mar-81
1302,SINGLE,SELF EMPLOYED,MANAGER OWNER,60,IRISH,ACTIVE,LO,01-Jun-90
1304,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,62,IRISH,ACTIVE,LO,28-Mar-81
1310,SINGLE,EMPLOYED FULL-TIME,QUALITY CONTROL DEPARTMENT,61,IRISH,ACTIVE,LO,03-Apr-81
1314,SINGLE,Not Available,Not Available,61,IRISH,ACTIVE,LO,07-Apr-81
1319,SINGLE,UNEMPLOYED,SOCIAL WELFARE,47,IRISH,ACTIVE,LO,10-Apr-81
1323,SINGLE,RETIRED,STATE PENSION,71,IRISH,ACTIVE,LO,11-Apr-81
1343,SINGLE,RETIRED,STATE PENSION,73,IRISH,ACTIVE,LO,18-Oct-69
1355,SINGLE,RETIRED,Not Available,89,IRISH,CLOSED,LO,31-Oct-69
1359,SINGLE,RETIRED,STATE PENSION,73,IRISH,ACTIVE,LO,01-Jun-90
1360,SINGLE,EMPLOYED FULL-TIME,NETWORK TECHNICIAN,64,IRISH,ACTIVE,LO,15-May-81
1365,SINGLE,UNEMPLOYED,HOUSEWIFE,66,IRISH,ACTIVE,LO,15-May-81
1366,SINGLE,EMPLOYED FULL-TIME,CONTRACTOR,58,IRISH,ACTIVE,LO,30-Dec-82
1383,SINGLE,EMPLOYED FULL-TIME,GEN.OP,56,IRISH,ACTIVE,LO,23-May-81
1392,SINGLE,EMPLOYED FULL-TIME,SALES ASSISTANT,40,IRISH,CHOFF,LO,07-Jun-90
1406,SINGLE,RETIRED,RETIRED,70,IRISH,ACTIVE,HI,02-Jun-81
1413,SINGLE,RETIRED,RETIRED,61,IRISH,ACTIVE,LO,08-Jun-90
1426,SINGLE,RETIRED,STATE PENSION,73,IRISH,ACTIVE,LO,24-Jan-70
1428,SINGLE,EMPLOYED PART-TIME,PRE SCHOOL TEACHER,62,IRISH,ACTIVE,LO,19-Jun-81
1440,SINGLE,RETIRED,RETIRED,84,IRISH,ACTIVE,LO,27-Jun-81
1452,SINGLE,EMPLOYED FULL-TIME,SHOP ASSISTANT ST BRIDGETS,70,IRISH,ACTIVE,LO,26-Jun-81
1454,SINGLE,EMPLOYED FULL-TIME,AN POST EMPLOYEE,65,IRISH,ACTIVE,LO,26-Jun-81
1460,SINGLE,EMPLOYED FULL-TIME,MAINTENANCE ELECTRICIAN,57,IRISH,ACTIVE,LO,08-Jun-90
1473,SINGLE,EMPLOYED FULL-TIME,OFFICE CLERK,43,IRISH,ACTIVE,LO,03-Jul-81
1477,SINGLE,RETIRED,HOUSEWIFE,77,IRISH,ACTIVE,LO,03-Jul-81
1479,SINGLE,EMPLOYED FULL-TIME,GENERAL OP.,49,IRISH,ACTIVE,LO,12-Jun-90
1493,SINGLE,RETIRED,NURSE RETIRED,65,IRISH,ACTIVE,LO,12-Jun-90
1494,SINGLE,EMPLOYED FULL-TIME,GEN.OP,68,IRISH,ACTIVE,LO,16-Feb-90
1498,SINGLE,EMPLOYED FULL-TIME,GENERAL OPERATIVE,59,IRISH,ACTIVE,LO,13-Jul-81
1526,SINGLE,RETIRED,STATE PENSION,73,IRISH,ACTIVE,LO,25-Apr-70
1540,SINGLE,Not Available,Not Available,78,IRISH,CHOFF,LO,10-Aug-81
1545,SINGLE,EMPLOYED FULL-TIME,ACCOUNTS ASSISTANT,41,IRISH,ACTIVE,LO,15-Jun-90
1546,SINGLE,EMPLOYED FULL-TIME,DRIVER / PORTER,45,IRISH,ACTIVE,LO,15-Jun-90
1548,SINGLE,UNEMPLOYED,Not Available,42,IRISH,ACTIVE,LO,14-Aug-81
1549,SINGLE,EMPLOYED FULL-TIME,SSNA,47,IRISH,ACTIVE,LO,14-Aug-81
1552,SINGLE,Not Available,SALES MAN,80,IRISH,ACTIVE,LO,08-Jun-70
1571,SINGLE,EMPLOYED PART-TIME,OFFICE WORKER,68,IRISH,ACTIVE,LO,22-Aug-81
1573,SINGLE,EMPLOYED FULL-TIME,SALES REP,78,IRISH,CHOFF,LO,28-Aug-81
1576,SINGLE,SELF EMPLOYED,Not Available,57,IRISH,ACTIVE,LO,28-Aug-81
1579,SINGLE,EMPLOYED FULL-TIME,IRISH RAIL FAST TRACK ATTENDANT,67,IRISH,ACTIVE,LO,28-Aug-81
1583,SINGLE,SELF EMPLOYED,HAIR DRESSER,60,IRISH,ACTIVE,HI,28-Aug-81
1586,SINGLE,EMPLOYED FULL-TIME,OFFICE ALLSOP EUROPE,61,IRISH,ACTIVE,LO,29-Aug-81
1588,SINGLE,RETIRED,RETIRED,77,IRISH,ACTIVE,LO,31-Oct-08
1593,SINGLE,EMPLOYED FULL-TIME,TEVA AEROSOLS DIVISION,66,IRISH,ACTIVE,LO,29-Aug-81
1598,SINGLE,Not Available,LECTURER,63,IRISH,ACTIVE,LO,04-Sep-81
1607,SINGLE,RETIRED,STATE PENSION,80,IRISH,ACTIVE,LO,18-Jul-70
1611,SINGLE,DISABILITY,DISABILITY S/WELFARE,58,IRISH,ACTIVE,LO,22-Jun-90
1618,SINGLE,SELF EMPLOYED,TAXI/MINI DRIVER,66,IRISH,ACTIVE,LO,12-Sep-81
1624,SINGLE,RETIRED,Not Available,75,IRISH,ACTIVE,LO,27-Sep-89
1630,SINGLE,EMPLOYED PART-TIME,SALES ASSISTANT / REP,66,IRISH,ACTIVE,LO,22-Jun-90
